Sample,Seq Id,Position,Reads (Cov),Reads (Cov),Score,Skew,Freq,Annotation,Gene,Product
,NZ_CP012004,"""=3613285""",NA (NA),,,,,coding(430/453nt),ACX60_RS17045,endonuclease
breseq_42,NZ_CP012004,"""=3150084""",17 (0.060),15 (0.070),14/208,NT,47.9%,pseudogene(28/921nt),ACX60_RS14915,hypothetical protein
,NZ_CP012004,"""3150238=""",18 (0.080),,,,,pseudogene(171/225nt),ACX60_RS19275,hypothetical protein
breseq_42,NZ_CP012004,"""3394323=""",172 (0.650),12 (0.040),10/240,NT,5.7%,coding(1252/2295nt),ACX60_RS16050,phosphoenolpyruvateprotein phosphotransferase
,NZ_CP012005,"""95905=""",223 (0.750),,,,,intergenic(22/71),ACX60_RS18730/ACX60_RS19365,sulfonamideresistant dihydropteroate synthase Sul2/IS4 family transposase
breseq_42,NZ_CP012004,"""=3394332""",185 (0.700),17 (0.060),14/242,NT,7.6%,coding(1261/2295nt),ACX60_RS16050,phosphoenolpyruvateprotein phosphotransferase
,NZ_CP012005,"""95905=""",226 (0.750),,,,,intergenic(22/71),ACX60_RS18730/ACX60_RS19365,sulfonamideresistant dihydropteroate synthase Sul2/IS4 family transposase
breseq_43,NC_009083,"""11236=""",88 (0.030),2852 (1.050),175/212,NT,92.9%,intergenic(513/+840),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""5259=""",359 (0.120),,,,,intergenic(+126/938),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_43,NC_009083,"""=11251""",89 (0.030),999 (0.370),149/212,NT,82.1%,intergenic(528/+825),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""=5242""",359 (0.120),,,,,intergenic(+109/955),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_43,NZ_CP012004,"""=22123""",NA (NA),3 (0.020),3/236,NT,NA,noncoding(1687/2918nt),ACX60_RS00090,23S ribosomal RNA
,NZ_CP012004,"""=22137""",NA (NA),,,,,noncoding(1701/2918nt),ACX60_RS00090,23S ribosomal RNA
breseq_43,NZ_CP012004,"""1389363=""",1 (0.010),135 (1.040),78/244,NT,68.9%,intergenic(80/504),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""=132540""",121 (0.890),,,,,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,DDE transposase/hypothetical protein
breseq_43,NZ_CP012004,"""=1389371""",5 (0.040),78 (0.600),52/242,NT,61.4%,intergenic(88/496),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""131502=""",93 (0.690),,,,,coding(135/192nt),ACX60_RS18925,hypothetical protein
breseq_43,NZ_CP012004,"""2846783=""",0 (0.000),120 (0.980),67/238,NT,100%,intergenic(437/26),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""3612188=""",NA (NA),,,,,intergenic(3/55),ACX60_RS19320/ACX60_RS17040,heteromeric transposase endonuclease subunit TnsA/IS701 family transposase
breseq_43,NZ_CP012004,"""=2846790""",0 (0.000),146 (1.190),70/240,NT,100%,intergenic(444/19),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""=3613285""",NA (NA),,,,,coding(430/453nt),ACX60_RS17045,endonuclease
breseq_44,NC_009083,"""11236=""",658 (0.200),1993 (0.580),158/212,NT,58.6%,intergenic(513/+840),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""5259=""",2247 (0.550),,,,,intergenic(+126/938),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_44,NC_009083,"""=11251""",671 (0.200),809 (0.230),136/212,NT,36.4%,intergenic(528/+825),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""=5242""",2247 (0.550),,,,,intergenic(+109/955),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_44,NZ_CP012004,"""1389363=""",0 (0.000),129 (0.850),67/244,NT,57.5%,intergenic(80/504),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""=132540""",191 (1.140),,,,,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,DDE transposase/hypothetical protein
breseq_44,NZ_CP012004,"""=1389371""",1 (0.010),105 (0.700),60/242,NT,62.7%,intergenic(88/496),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""131502=""",124 (0.750),,,,,coding(135/192nt),ACX60_RS18925,hypothetical protein
breseq_44,NZ_CP012004,"""2846783=""",0 (0.000),133 (1.000),67/238,NT,100%,intergenic(437/26),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""3612188=""",NA (NA),,,,,intergenic(3/55),ACX60_RS19320/ACX60_RS17040,heteromeric transposase endonuclease subunit TnsA/IS701 family transposase
breseq_44,NZ_CP012004,"""=2846790""",0 (0.000),175 (1.300),71/240,NT,100%,intergenic(444/19),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""=3613285""",NA (NA),,,,,coding(430/453nt),ACX60_RS17045,endonuclease
breseq_45,NC_009083,"""11236=""",82 (0.050),1086 (0.670),134/212,NT,80.7%,intergenic(513/+840),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""5259=""",447 (0.250),,,,,intergenic(+126/938),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_45,NC_009083,"""=11251""",89 (0.050),576 (0.360),110/212,NT,68.7%,intergenic(528/+825),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""=5242""",447 (0.250),,,,,intergenic(+109/955),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_45,NZ_CP012004,"""1389363=""",0 (0.000),122 (1.070),73/244,NT,65.8%,intergenic(80/504),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""=132540""",127 (1.300),,,,,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,DDE transposase/hypothetical protein
breseq_45,NZ_CP012004,"""=1389371""",2 (0.020),66 (0.590),35/242,NT,61.7%,intergenic(88/496),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""131502=""",80 (0.820),,,,,coding(135/192nt),ACX60_RS18925,hypothetical protein
breseq_45,NZ_CP012004,"""1441094=""",159 (1.230),14 (0.110),12/244,NT,8.1%,coding(9/1992nt),ACX60_RS06730,cytochrome ubiquinol oxidase subunit I
,NZ_CP012004,"""=1441103""",NA (NA),,,,,intergenic(1/+3),ACX60_RS06730/ACX60_RS06735,cytochrome ubiquinol oxidase subunit I/ubiquinol oxidase subunit II
breseq_45,NZ_CP012004,"""2597132=""",221 (1.710),21 (0.200),14/202,NT,11.4%,intergenic(+65/222),ACX60_RS12340/ACX60_RS12345,alaninetRNA ligase/alpha/beta hydrolase
,NZ_CP012004,"""=2639957""",144 (1.350),,,,,intergenic(+208/2),ACX60_RS12640/ACX60_RS12645,hypothetical protein/aspartate kinase
breseq_45,NZ_CP012004,"""2846783=""",0 (0.000),131 (1.040),68/238,NT,100%,intergenic(437/26),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""3612188=""",NA (NA),,,,,intergenic(3/55),ACX60_RS19320/ACX60_RS17040,heteromeric transposase endonuclease subunit TnsA/IS701 family transposase
breseq_45,NZ_CP012004,"""=2846790""",0 (0.000),144 (1.130),63/240,NT,100%,intergenic(444/19),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""=3613285""",NA (NA),,,,,coding(430/453nt),ACX60_RS17045,endonuclease
breseq_45,NZ_CP012004,"""3394323=""",119 (0.920),5 (0.040),5/240,NT,5.1%,coding(1252/2295nt),ACX60_RS16050,phosphoenolpyruvateprotein phosphotransferase
,NZ_CP012005,"""=97084""",69 (0.720),,,,,intergenic(+18/12),ACX60_RS19365/ACX60_RS19370,IS4 family transposase/transcriptional regulator
breseq_45,NZ_CP012004,"""=3394332""",117 (0.900),14 (0.130),13/240,NT,14.1%,coding(1261/2295nt),ACX60_RS16050,phosphoenolpyruvateprotein phosphotransferase
,NZ_CP012005,"""95906=""",56 (0.580),,,,,intergenic(23/70),ACX60_RS18730/ACX60_RS19365,sulfonamideresistant dihydropteroate synthase Sul2/IS4 family transposase
breseq_45,NZ_CP012004,"""3394766=""",68 (0.530),15 (0.120),13/240,NT,18.3%,coding(1695/2295nt),ACX60_RS16050,phosphoenolpyruvateprotein phosphotransferase
,NZ_CP012004,"""3612189=""",NA (NA),,,,,intergenic(4/54),ACX60_RS19320/ACX60_RS17040,heteromeric transposase endonuclease subunit TnsA/IS701 family transposase
breseq_45,NZ_CP012004,"""=3394773""",77 (0.600),13 (0.100),12/242,NT,14.5%,coding(1702/2295nt),ACX60_RS16050,phosphoenolpyruvateprotein phosphotransferase
,NZ_CP012004,"""=3613286""",NA (NA),,,,,coding(429/453nt),ACX60_RS17045,endonuclease
breseq_46,NC_009083,"""11236=""",91 (0.050),1120 (0.630),144/212,NT,81.0%,intergenic(513/+840),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""5259=""",447 (0.230),,,,,intergenic(+126/938),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_46,NC_009083,"""=11251""",88 (0.050),716 (0.400),131/212,NT,73.2%,intergenic(528/+825),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""=5242""",447 (0.230),,,,,intergenic(+109/955),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_46,NZ_CP012004,"""1389363=""",2 (0.010),200 (1.140),84/244,NT,67.0%,intergenic(80/504),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""=132540""",195 (1.200),,,,,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,DDE transposase/hypothetical protein
breseq_46,NZ_CP012004,"""=1389371""",10 (0.050),84 (0.480),44/242,NT,52.0%,intergenic(88/496),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""131502=""",145 (0.900),,,,,coding(135/192nt),ACX60_RS18925,hypothetical protein
breseq_46,NZ_CP012004,"""1591230=""",240 (1.280),18 (0.110),15/208,NT,7.2%,intergenic(+321/178),ACX60_RS07370/ACX60_RS07375,hypothetical protein/phage integrase
,NZ_CP012004,"""=1642099""",257 (1.610),,,,,coding(6/1137nt),ACX60_RS07715,MFS transporter
breseq_46,NZ_CP012004,"""2597132=""",285 (1.520),60 (0.390),44/202,NT,20.5%,intergenic(+65/222),ACX60_RS12340/ACX60_RS12345,alaninetRNA ligase/alpha/beta hydrolase
,NZ_CP012004,"""=2639957""",230 (1.490),,,,,intergenic(+208/2),ACX60_RS12640/ACX60_RS12645,hypothetical protein/aspartate kinase
breseq_46,NZ_CP012004,"""2846783=""",1 (0.010),206 (1.130),101/238,NT,99.5%,intergenic(437/26),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""3612188=""",NA (NA),,,,,intergenic(3/55),ACX60_RS19320/ACX60_RS17040,heteromeric transposase endonuclease subunit TnsA/IS701 family transposase
breseq_46,NZ_CP012004,"""=2846790""",0 (0.000),229 (1.240),103/240,NT,100%,intergenic(444/19),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""=3613285""",NA (NA),,,,,coding(430/453nt),ACX60_RS17045,endonuclease
breseq_46,NZ_CP012004,"""=3150084""",16 (0.090),6 (0.040),6/210,NT,34.5%,pseudogene(28/921nt),ACX60_RS14915,hypothetical protein
,NZ_CP012004,"""3150238=""",9 (0.060),,,,,pseudogene(171/225nt),ACX60_RS19275,hypothetical protein
breseq_46,NZ_CP012004,"""3207171=""",257 (1.370),23 (0.130),20/244,NT,10.3%,coding(78/270nt),ACX60_RS15180,phosphocarrier protein HPr
,NZ_CP012005,"""131502=""",145 (0.890),,,,,coding(135/192nt),ACX60_RS18925,hypothetical protein
breseq_46,NZ_CP012004,"""=3207179""",251 (1.340),16 (0.090),15/244,NT,6.7%,coding(70/270nt),ACX60_RS15180,phosphocarrier protein HPr
,NZ_CP012005,"""=132540""",195 (1.200),,,,,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,DDE transposase/hypothetical protein
breseq_46,NZ_CP012004,"""3393494=""",109 (0.580),24 (0.130),20/242,NT,18.2%,coding(423/2295nt),ACX60_RS16050,phosphoenolpyruvateprotein phosphotransferase
,NZ_CP012004,"""3600767=""",NA (NA),,,,,coding(842/858nt),ACX60_RS16990,ATPdependent protease
breseq_46,NZ_CP012004,"""=3393499""",111 (0.590),29 (0.170),24/244,NT,20.7%,coding(428/2295nt),ACX60_RS16050,phosphoenolpyruvateprotein phosphotransferase
,NZ_CP012005,"""=119573""",NA (NA),,,,,intergenic(155/+35),ACX60_RS18850/ACX60_RS18855,endonuclease/hypothetical protein
breseq_47,NC_009083,"""11236=""",416 (0.150),1927 (0.670),162/210,NT,72.4%,intergenic(513/+840),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""5259=""",1110 (0.340),,,,,intergenic(+126/938),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_47,NC_009083,"""=11251""",419 (0.150),848 (0.300),134/210,NT,53.5%,intergenic(528/+825),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""=5242""",1110 (0.340),,,,,intergenic(+109/955),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_47,NZ_CP012004,"""1389363=""",0 (0.000),233 (1.370),88/242,NT,75.6%,intergenic(80/504),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""=132540""",150 (1.060),,,,,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,DDE transposase/hypothetical protein
breseq_47,NZ_CP012004,"""=1389371""",6 (0.030),106 (0.630),57/240,NT,64.6%,intergenic(88/496),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""131502=""",110 (0.790),,,,,coding(135/192nt),ACX60_RS18925,hypothetical protein
breseq_47,NZ_CP012004,"""1591230=""",298 (1.490),23 (0.130),18/206,NT,7.9%,intergenic(+321/178),ACX60_RS07370/ACX60_RS07375,hypothetical protein/phage integrase
,NZ_CP012004,"""=1642099""",284 (1.670),,,,,coding(6/1137nt),ACX60_RS07715,MFS transporter
breseq_47,NZ_CP012004,"""2597132=""",329 (1.640),60 (0.360),40/200,NT,18.3%,intergenic(+65/222),ACX60_RS12340/ACX60_RS12345,alaninetRNA ligase/alpha/beta hydrolase
,NZ_CP012004,"""=2639957""",263 (1.590),,,,,intergenic(+208/2),ACX60_RS12640/ACX60_RS12645,hypothetical protein/aspartate kinase
breseq_47,NZ_CP012004,"""2846783=""",0 (0.000),213 (1.090),96/236,NT,100%,intergenic(437/26),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""3612188=""",NA (NA),,,,,intergenic(3/55),ACX60_RS19320/ACX60_RS17040,heteromeric transposase endonuclease subunit TnsA/IS701 family transposase
breseq_47,NZ_CP012004,"""=2846790""",0 (0.000),272 (1.380),100/238,NT,100%,intergenic(444/19),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""=3613285""",NA (NA),,,,,coding(430/453nt),ACX60_RS17045,endonuclease
breseq_47,NZ_CP012004,"""=3150084""",13 (0.060),10 (0.060),9/208,NT,52.4%,pseudogene(28/921nt),ACX60_RS14915,hypothetical protein
,NZ_CP012004,"""3150238=""",7 (0.040),,,,,pseudogene(171/225nt),ACX60_RS19275,hypothetical protein
breseq_47,NZ_CP012004,"""3207171=""",270 (1.350),18 (0.110),13/242,NT,8.7%,coding(78/270nt),ACX60_RS15180,phosphocarrier protein HPr
,NZ_CP012005,"""131502=""",110 (0.780),,,,,coding(135/192nt),ACX60_RS18925,hypothetical protein
breseq_47,NZ_CP012004,"""3394022=""",126 (0.630),8 (0.050),8/240,NT,6.0%,coding(951/2295nt),ACX60_RS16050,phosphoenolpyruvateprotein phosphotransferase
,NZ_CP012005,"""95905=""",125 (0.890),,,,,intergenic(22/71),ACX60_RS18730/ACX60_RS19365,sulfonamideresistant dihydropteroate synthase Sul2/IS4 family transposase
breseq_47,NZ_CP012004,"""3394323=""",144 (0.720),27 (0.160),24/240,NT,16.8%,coding(1252/2295nt),ACX60_RS16050,phosphoenolpyruvateprotein phosphotransferase
,NZ_CP012005,"""95905=""",125 (0.890),,,,,intergenic(22/71),ACX60_RS18730/ACX60_RS19365,sulfonamideresistant dihydropteroate synthase Sul2/IS4 family transposase
breseq_47,NZ_CP012004,"""=3394332""",156 (0.780),15 (0.090),11/234,NT,10.5%,coding(1261/2295nt),ACX60_RS16050,phosphoenolpyruvateprotein phosphotransferase
,NZ_CP012005,"""=97083""",104 (0.760),,,,,intergenic(+17/13),ACX60_RS19365/ACX60_RS19370,IS4 family transposase/transcriptional regulator
breseq_48,NC_009083,"""11236=""",120 (0.050),1079 (0.490),130/208,NT,79.6%,intergenic(513/+840),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""5259=""",448 (0.180),,,,,intergenic(+126/938),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_48,NC_009083,"""=11251""",116 (0.050),798 (0.360),129/208,NT,74.4%,intergenic(528/+825),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""=5242""",448 (0.180),,,,,intergenic(+109/955),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_48,NZ_CP012004,"""=1389345""",4 (0.010),18 (0.070),12/240,NT,16.4%,intergenic(62/522),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""95905=""",180 (0.700),,,,,intergenic(22/71),ACX60_RS18730/ACX60_RS19365,sulfonamideresistant dihydropteroate synthase Sul2/IS4 family transposase
breseq_48,NZ_CP012004,"""1389363=""",1 (0.000),266 (0.990),98/240,NT,62.6%,intergenic(80/504),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""=132540""",317 (1.230),,,,,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,DDE transposase/hypothetical protein
breseq_48,NZ_CP012004,"""=1389371""",13 (0.050),101 (0.380),49/238,NT,44.3%,intergenic(88/496),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""131502=""",241 (0.940),,,,,coding(135/192nt),ACX60_RS18925,hypothetical protein
breseq_48,NZ_CP012004,"""1591230=""",317 (1.140),25 (0.110),19/204,NT,7.2%,intergenic(+321/178),ACX60_RS07370/ACX60_RS07375,hypothetical protein/phage integrase
,NZ_CP012004,"""=1642099""",378 (1.600),,,,,coding(6/1137nt),ACX60_RS07715,MFS transporter
breseq_48,NZ_CP012004,"""2597132=""",430 (1.550),42 (0.180),23/198,NT,11.0%,intergenic(+65/222),ACX60_RS12340/ACX60_RS12345,alaninetRNA ligase/alpha/beta hydrolase
,NZ_CP012004,"""=2639957""",323 (1.410),,,,,intergenic(+208/2),ACX60_RS12640/ACX60_RS12645,hypothetical protein/aspartate kinase
breseq_48,NZ_CP012004,"""2846783=""",2 (0.010),244 (0.900),102/234,NT,99.2%,intergenic(437/26),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""3612188=""",NA (NA),,,,,intergenic(3/55),ACX60_RS19320/ACX60_RS17040,heteromeric transposase endonuclease subunit TnsA/IS701 family transposase
breseq_48,NZ_CP012004,"""=2846790""",0 (0.000),324 (1.190),106/236,NT,100%,intergenic(444/19),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""=3613285""",NA (NA),,,,,coding(430/453nt),ACX60_RS17045,endonuclease
breseq_48,NZ_CP012004,"""=3150084""",19 (0.070),10 (0.040),10/206,NT,38.3%,pseudogene(28/921nt),ACX60_RS14915,hypothetical protein
,NZ_CP012004,"""3150238=""",16 (0.070),,,,,pseudogene(171/225nt),ACX60_RS19275,hypothetical protein
breseq_48,NZ_CP012004,"""3394323=""",215 (0.770),41 (0.160),27/236,NT,15.4%,coding(1252/2295nt),ACX60_RS16050,phosphoenolpyruvateprotein phosphotransferase
,NZ_CP012005,"""=97084""",239 (0.940),,,,,intergenic(+18/12),ACX60_RS19365/ACX60_RS19370,IS4 family transposase/transcriptional regulator
breseq_48,NZ_CP012004,"""=3394332""",229 (0.820),42 (0.160),34/236,NT,17.3%,coding(1261/2295nt),ACX60_RS16050,phosphoenolpyruvateprotein phosphotransferase
,NZ_CP012005,"""95906=""",175 (0.690),,,,,intergenic(23/70),ACX60_RS18730/ACX60_RS19365,sulfonamideresistant dihydropteroate synthase Sul2/IS4 family transposase
breseq_49,NC_009083,"""11236=""",206 (0.070),1863 (0.600),157/216,NT,76.6%,intergenic(513/+840),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""5259=""",957 (0.270),,,,,intergenic(+126/938),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_49,NC_009083,"""=11251""",213 (0.070),1189 (0.380),146/216,NT,67.5%,intergenic(528/+825),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""=5242""",957 (0.270),,,,,intergenic(+109/955),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_49,NZ_CP012004,"""=20600""",NA (NA),10 (0.030),7/232,NT,NA,noncoding(164/2918nt),ACX60_RS00090,23S ribosomal RNA
,NZ_CP012004,"""=20611""",NA (NA),,,,,noncoding(175/2918nt),ACX60_RS00090,23S ribosomal RNA
breseq_49,NZ_CP012004,"""1389363=""",4 (0.010),341 (1.000),110/248,NT,64.4%,intergenic(80/504),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""=132540""",373 (1.200),,,,,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,DDE transposase/hypothetical protein
breseq_49,NZ_CP012004,"""=1389371""",8 (0.020),178 (0.520),74/246,NT,57.6%,intergenic(88/496),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""131502=""",254 (0.820),,,,,coding(135/192nt),ACX60_RS18925,hypothetical protein
breseq_49,NZ_CP012004,"""1591230=""",443 (1.190),138 (0.430),66/212,NT,25.8%,intergenic(+321/178),ACX60_RS07370/ACX60_RS07375,hypothetical protein/phage integrase
,NZ_CP012004,"""=1642099""",415 (1.310),,,,,coding(6/1137nt),ACX60_RS07715,MFS transporter
breseq_49,NZ_CP012004,"""2597132=""",471 (1.270),217 (0.700),79/206,NT,35.6%,intergenic(+65/222),ACX60_RS12340/ACX60_RS12345,alaninetRNA ligase/alpha/beta hydrolase
,NZ_CP012004,"""=2639957""",394 (1.280),,,,,intergenic(+208/2),ACX60_RS12640/ACX60_RS12645,hypothetical protein/aspartate kinase
breseq_49,NZ_CP012004,"""2846783=""",1 (0.000),389 (1.070),127/242,NT,99.7%,intergenic(437/26),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""3612188=""",NA (NA),,,,,intergenic(3/55),ACX60_RS19320/ACX60_RS17040,heteromeric transposase endonuclease subunit TnsA/IS701 family transposase
breseq_49,NZ_CP012004,"""=2846790""",0 (0.000),427 (1.170),106/244,NT,100%,intergenic(444/19),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""=3613285""",NA (NA),,,,,coding(430/453nt),ACX60_RS17045,endonuclease
breseq_49,NZ_CP012004,"""3078914=""",234 (0.630),109 (0.290),66/248,NT,31.8%,coding(673/678nt),ACX60_RS14610,NADHquinone oxidoreductase subunit B
,NZ_CP012004,"""3612187=""",NA (NA),,,,,intergenic(2/56),ACX60_RS19320/ACX60_RS17040,heteromeric transposase endonuclease subunit TnsA/IS701 family transposase
breseq_49,NZ_CP012004,"""=3078919""",238 (0.640),110 (0.300),64/246,NT,31.8%,coding(668/678nt),ACX60_RS14610,NADHquinone oxidoreductase subunit B
,NZ_CP012004,"""=3613286""",NA (NA),,,,,coding(429/453nt),ACX60_RS17045,endonuclease
breseq_49,NZ_CP012004,"""=3150084""",43 (0.120),13 (0.040),10/214,NT,28.5%,pseudogene(28/921nt),ACX60_RS14915,hypothetical protein
,NZ_CP012004,"""3150238=""",28 (0.090),,,,,pseudogene(171/225nt),ACX60_RS19275,hypothetical protein
breseq_50,NC_009083,"""11236=""",199 (0.070),1094 (0.380),127/212,NT,69.2%,intergenic(513/+840),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""5259=""",799 (0.250),,,,,intergenic(+126/938),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_50,NC_009083,"""=11251""",195 (0.070),1176 (0.410),139/212,NT,70.8%,intergenic(528/+825),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""=5242""",799 (0.250),,,,,intergenic(+109/955),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_50,NZ_CP012004,"""=129757""",0 (0.000),192 (0.510),79/234,NT,100%,intergenic(+23/+39),ACX60_RS00585/ACX60_RS00590,type VI secretion system protein/IS3 family transposase
,NZ_CP012004,"""131070=""",0 (0.000),,,,,intergenic(6/+32),ACX60_RS19010/ACX60_RS00600,permease/hypothetical protein
breseq_50,NZ_CP012004,"""1389363=""",0 (0.000),384 (1.210),121/244,NT,72.6%,intergenic(80/504),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""=132540""",290 (1.200),,,,,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,DDE transposase/hypothetical protein
breseq_50,NZ_CP012004,"""=1389371""",5 (0.010),164 (0.520),63/242,NT,58.7%,intergenic(88/496),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""131502=""",226 (0.940),,,,,coding(135/192nt),ACX60_RS18925,hypothetical protein
breseq_50,NZ_CP012004,"""1955109=""",365 (0.930),20 (0.060),17/244,NT,5.8%,coding(181/390nt),ACX60_RS09225,hypothetical protein
,NZ_CP012005,"""=132540""",290 (1.200),,,,,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,DDE transposase/hypothetical protein
breseq_50,NZ_CP012004,"""2597132=""",509 (1.290),26 (0.080),22/202,NT,6.1%,intergenic(+65/222),ACX60_RS12340/ACX60_RS12345,alaninetRNA ligase/alpha/beta hydrolase
,NZ_CP012004,"""=2639957""",376 (1.150),,,,,intergenic(+208/2),ACX60_RS12640/ACX60_RS12645,hypothetical protein/aspartate kinase
breseq_50,NZ_CP012004,"""2846783=""",0 (0.000),337 (0.880),111/238,NT,100%,intergenic(437/26),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""3612188=""",NA (NA),,,,,intergenic(3/55),ACX60_RS19320/ACX60_RS17040,heteromeric transposase endonuclease subunit TnsA/IS701 family transposase
